Nombre;Codigo;Clase
dihydrofolate reductase / thymidylate synthase [EC:1.5.1.3 2.1.1.45];EC:1.5.1.3 2.1.1.45;Oxidoreductases
dTMP kinase [EC:2.7.4.9];EC:2.7.4.9;Transferases
dUTP pyrophosphatase [EC:3.6.1.23];EC:3.6.1.23;Hydrolases
omega-amidase [EC:3.5.1.3];EC:3.5.1.3;Hydrolases
glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16];EC:2.6.1.16;Transferases
1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88];EC:1.2.1.88;Oxidoreductases
aspartate--ammonia ligase [EC:6.3.1.1];EC:6.3.1.1;Ligases
L-asparaginase [EC:3.5.1.1];EC:3.5.1.1;Hydrolases
cystathionine beta-synthase [EC:4.2.1.22];EC:4.2.1.22;Lyases
glycine hydroxymethyltransferase [EC:2.1.2.1];EC:2.1.2.1;Transferases
aminomethyltransferase [EC:2.1.2.10];EC:2.1.2.10;Transferases
glycine dehydrogenase [EC:1.4.4.2];EC:1.4.4.2;Oxidoreductases
threonine aldolase [EC:4.1.2.48];EC:4.1.2.48;Lyases
threonine synthase [EC:4.2.3.1];EC:4.2.3.1;Lyases
homoserine kinase [EC:2.7.1.39];EC:2.7.1.39;Transferases
homoserine dehydrogenase [EC:1.1.1.3];EC:1.1.1.3;Oxidoreductases
serine racemase [EC:5.1.1.18];EC:5.1.1.18;Isomerases
D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399];EC:1.1.1.95 1.1.1.399;Oxidoreductases
serine O-acetyltransferase [EC:2.3.1.30];EC:2.3.1.30;Transferases
cysteine synthase [EC:2.5.1.47];EC:2.5.1.47;Transferases
cysteine-S-conjugate beta-lyase [EC:4.4.1.13];EC:4.4.1.13;Lyases
thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2];EC:2.8.1.1 2.8.1.2;Transferases
5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13];EC:2.1.1.13;Transferases
adenosylhomocysteinase [EC:3.3.1.1];EC:3.3.1.1;Hydrolases
homocysteine S-methyltransferase [EC:2.1.1.10];EC:2.1.1.10;Transferases
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14];EC:2.1.1.14;Transferases
tyrosine aminotransferase [EC:2.6.1.5];EC:2.6.1.5;Transferases
S-adenosylmethionine synthetase [EC:2.5.1.6];EC:2.5.1.6;Transferases
DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37];EC:2.1.1.37;Transferases
S-adenosylmethionine decarboxylase [EC:4.1.1.50];EC:4.1.1.50;Lyases
spermidine synthase [EC:2.5.1.16];EC:2.5.1.16;Transferases
5'-methylthioadenosine phosphorylase [EC:2.4.2.28];EC:2.4.2.28;Transferases
methylthioribose-1-phosphate isomerase [EC:5.3.1.23];EC:5.3.1.23;Isomerases
methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109];EC:4.2.1.109;Lyases
1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54];EC:1.13.11.53 1.13.11.54;Oxidoreductases
branched-chain amino acid aminotransferase [EC:2.6.1.42];EC:2.6.1.42;Transferases
glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2];EC:6.3.2.2;Ligases
glutathione synthase [EC:6.3.2.3];EC:6.3.2.3;Ligases
2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4];EC:1.2.4.4;Oxidoreductases
2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168];EC:2.3.1.168;Transferases
isovaleryl-CoA dehydrogenase [EC:1.3.8.4];EC:1.3.8.4;Oxidoreductases
3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4];EC:6.4.1.4;Ligases
methylglutaconyl-CoA hydratase [EC:4.2.1.18];EC:4.2.1.18;Lyases
methylmalonyl-CoA mutase [EC:5.4.99.2];EC:5.4.99.2;Isomerases
